FULLNAME	DATASET	READY_FOR_GSEA	NORMALIZATION	GENES	ORIGINAL_N	CHIP	PROCESS	X	Y
Lupus	GSE32591							24	3
Lupus	GSE38567							24	4
Lupus	GSE37573							24	5
Lupus	GSE21384							24	6
Lupus	GSE30153							24	7
Lupus	GSE39928							24	8
Lupus	GSE27895							24	9
Lupus	GSE23203							24	10
Lupus	GSE26975							25	1
Lupus	GSE27427							25	2
Lupus	GSE20864							25	3
Lupus	GSE17755							25	4
Lupus	GSE22098							25	5
Lupus	GSE12374							25	6
Lupus	GSE13887							25	7
Lupus	GSE11909							25	8
Lupus	GSE10325							25	9
Lupus	GSE19033							25	10
Lyme Disease	GSE55815							26	1
Lyme Disease	GSE27252							26	2
Lyme Disease	GSE27995							26	3
Meningitis	GSE40586							26	4
Metachromatic Leukodystrophy	GSE23350							26	5
Multiple Sclerosis	GSE16461							26	6
Multiple Sclerosis	GSE21942							26	7
Multiple Sclerosis	GSE52139							26	8
Multiple Sclerosis	GSE40360							26	9
Multiple Sclerosis	GSE43591							26	10
Multiple Sclerosis	GSE43590							27	1
Multiple Sclerosis	GSE41849							27	2
Multiple Sclerosis	GSE41848							27	3
Multiple Sclerosis	GSE41847							27	4
Multiple Sclerosis	GSE41846							27	5
Multiple Sclerosis	GSE41890							27	6
Multiple Sclerosis	GSE39643							27	7
Multiple Sclerosis	GSE32915							27	8
Multiple Sclerosis	GSE21942							27	9
Multiple Sclerosis	GSE26927							27	10
Multiple Sclerosis	GSE16461							28	1
Multiple Sclerosis	GSE26104							28	2
Multiple Sclerosis	GSE21079							28	3
Multiple Sclerosis	GSE17048							28	4
Multiple Sclerosis	GSE20334							28	5
Multiple Sclerosis	GSE14895							28	6
Multiple Sclerosis	GSE17393							28	7
Multiple Sclerosis	GSE17410							28	8
Multiple Sclerosis	GSE17846							28	9
Multiple Sclerosis	GSE15245							28	10
Multiple Sclerosis	GSE13732							29	1
Muscular Dystrophy	GSE36398							29	2
Muscular Dystrophy	GSE11681							29	3
Muscular Dystrophy	GSE6011							29	4
Muscular Dystrophy	GSE3307							29	5
Muscular Dystrophy	GSE1007							29	6
Muscular Dystrophy	GSE1004							29	7
Muscular Dystrophy	GSE465							29	8
Muscular Dystrophy	GSE36398							29	9
Muscular Dystrophy	GSE26852							29	10
Muscular Dystrophy	GSE33799							30	1
Muscular Dystrophy	GSE32720							30	2
Muscular Dystrophy	GSE9397							30	3
Muscular Dystrophy	GSE6011							30	4
Neurofibromatosis	GSE39764							30	5
Neurofibromatosis	GSE24328							30	6
Neurofibromatosis	GSE19370							30	7
Neurofibromatosis	GSE18444							30	8
Neurofibromatosis	GSE14038							30	9
Neuronal Ceroid Lipofuscinosis	GSE22225							30	10
Parkinson's Disease	GSE33298							31	1
Parkinson's Disease	GSE19587							31	2
Parkinson's Disease	GSE8397							31	3
Parkinson's Disease	GSE7621							31	4
Parkinson's Disease	GSE6613							31	5
Parkinson's Disease	GSE34287							31	6
Parkinson's Disease	GSE33298							31	7
Parkinson's Disease	GSE22491							31	8
Parkinson's Disease	GSE29654							31	9
Parkinson's Disease	GSE32037	Are these a series?						31	10
Parkinson's Disease	GSE32040							32	1
Parkinson's Disease	GSE32039							32	2
Parkinson's Disease	GSE23290							32	3
Parkinson's Disease	GSE28894							32	4
Parkinson's Disease	GSE26927							32	5
Parkinson's Disease	GSE20163							32	6
Parkinson's Disease	GSE20159							32	7
Parkinson's Disease	GSE24378							32	8
Parkinson's Disease	GSE21450							32	9
Parkinson's Disease	GSE19587							32	10
Parkinson's Disease	GSE15826							33	1
Parkinson's Disease	GSE20295							33	2
Parkinson's Disease	GSE20292							33	3
Parkinson's Disease	GSE20153							33	4
Parkinson's Disease	GSE20146							33	5
Parkinson's Disease	GSE20141							33	6
Parkinson's Disease	GSE20168							33	7
Parkinson's Disease	GSE18838							33	8
Parkinson's Disease	GSE8397							33	9
Parkinson's Disease	GSE7621							33	10
Parkinson's Disease	GSE6613							34	1
Parkinson's Disease	GSE4773							34	2
Pompe Disease	GSE38680							34	3
Progressive Supranuclear Palsy	GSE53740							34	4
Progressive Supranuclear Palsy	GSE32037							34	5
Progressive Supranuclear Palsy	GSE32040							34	6
Progressive Supranuclear Palsy	GSE32039							34	7
Rett Syndrome	GSE51607							34	8
Rett Syndrome	GSE34099							34	9
Salivary Gland Disease	GSE23117							34	10
Salivary Gland Disease	GSE51092							35	1
Salivary Gland Disease	GSE48278							35	2
Salivary Gland Disease	GSE40611							35	3
Salivary Gland Disease	GSE23117							35	4
Salivary Gland Disease	GSE7451							35	5
Soto's Syndrome	GSE27200							35	6
Spinal Muscular Atrophy	GSE27207							35	7
Spinal Muscular Atrophy	GSE8359							35	8
Stroke	GSE47728							35	9
Stroke	GSE47727							35	10
Stroke	GSE22255							36	1
Stroke	GSE16561							36	2
Tuberous Sclerosis	GSE12027							36	3
William's Syndrome	GSE16715							36	4
William's Syndrome	GSE47390							36	5
William's Syndrome	GSE16715							36	6
